company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;light_struct;dry_sweet;flat_acidic;notes
Vie di Romans;Dolée;4.2;31;36.0;Pasta / Seafood / Hard and aged cheese;Italy;Friuli Isonzo;Friulano;2008.0;64.0;26.0;52.0;fruit tree/citrus/wood
Serafini & Vidotto;Phigaia El Blanco;3.8;28;15.9;na / na / na;Italy;delle Venezie;Miscela;2018.0;;;;
Vie di Romans;Ciampagnis Chardonnay;4.1;38;21.15;Pasta / Seafood / Hard and aged cheese;Italy;Friuli Isonzo;Chardonnay;2020.0;63.0;25.0;51.0;wood/fruit tree/citrus
Fattoria Sardi;Vermentino;3.9;46;12.0;Pasta / Vegetarian / Appetizers and snacks;Italy;Colline Lucchesi;Vermentino;2019.0;39.0;25.0;66.0;fruit tree/citrus/herbaceous
Panizzi;Vernaccia di San Gimignano Blanco;3.8;400;9.9;Pasta / Vegetarian / Appetizers and snacks;Italy;Vernaccia di San Gimignano;Vernaccia di San Gimignano;2018.0;44.0;18.0;66.0;fruit tree/citrus/herbaceous
Candidaterra;Pandataria;3.8;58;27.9;Pasta / Vegetarian / Appetizers and snacks;Italy;Lazio;Falanghina;2018.0;50.0;22.0;43.0;herbaceous/tropical note
Vie di Romans;Ciampagnis Chardonnay;4.1;368;25.8;Pasta / Seafood / Hard and aged cheese;Italy;Friuli Isonzo;Chardonnay;2018.0;63.0;25.0;51.0;wood/fruit tree/citrus
Conti Thun;Contessa Lene Sauvignon Blanc;4.2;27;25.49;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Sauvignon Blanc;2019.0;64.0;17.0;55.0;
Vie di Romans;Dessimis Pinot Grigio;4.1;179;38.0;Seafood / Vegetarian / Mushrooms;Italy;Friuli Isonzo;Pinot Grigio;2008.0;48.0;18.0;39.0;fruit tree/citrus/wood
Castello di Ama;Al Poggio Chardonnay di Toscana;3.8;51;16.5;Pasta / Vegetarian / Appetizers and snacks;Italy;Toscana;Chardonnay;2020.0;44.0;23.0;64.0;fruit tree/wood/citrus
Elena Walch;Beyond the Clouds;4.5;378;50.0;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Chardonnay;2019.0;65.0;26.0;48.0;wood/fruit tree/tropical note
Antinori;Castello della Sala Cervaro della Sala;4.4;97;47.9;Pasta / Vegetarian / Appetizers and snacks;Italy;Umbria;Miscela;2020.0;50.0;27.0;64.0;wood/fruit tree/herbaceous
Zidarich;Prulke;4.3;54;33.3;Pasta / Seafood / Hard and aged cheese;Italy;Friuli-Venezia Giulia;Miscela;2018.0;64.0;21.0;52.0;citrus/herbaceous/fruit tree
Ceraudo;Grisara Bianco;3.8;37;14.48;Seafood / Vegetarian / Appetizers and snacks;Italy;Val di Neto;Pecorino;2020.0;67.0;2.0;37.0;citrus/fruit tree/herbaceous
Casale del Giglio;Satrico Lazio Bianco;3.8;569;7.9;Pasta / Vegetarian / Appetizers and snacks;Italy;Lazio;Miscela;2020.0;45.0;23.0;64.0;fruit tree/citrus/herbaceous
Pfitscher;Gewürztraminer Stoass;4.0;99;15.0;Pork / Fatty fish (salmon, tuna, etc.) / Spicy foods;Italy;Südtirol - Alto Adige;Gewürztraminer;2019.0;62.0;34.0;26.0;tropical note/herbaceous/citrus
Bollini;Pinot Grigio;3.9;70;10.5;Seafood / Vegetarian / Mushrooms;Italy;Vigneti delle Dolomiti;Pinot Grigio;2020.0;42.0;10.0;43.0;fruit tree/citrus/herbaceous
Morgante;Bianco di Morgante;3.8;36;9.35;Seafood / Vegetarian / Appetizers and snacks;Italy;Sicilia;Nero d'Avola;2019.0;63.0;3.0;35.0;citrus/fruit tree/herbaceous
Tramin;Pinot Bianco Moriz;3.9;222;15.1;Fatty fish (salmon, tuna, etc.) / Seafood / Sweet soft cheese;Italy;Südtirol - Alto Adige;Weissburgunder;2019.0;41.0;4.0;61.0;fruit tree/herbaceous/citrus
Duca di Salaparuta;Sentiero del Vento Vermentino;3.9;25;12.0;Seafood / Vegetarian / Appetizers and snacks;Italy;Terre Siciliane;Vermentino;2020.0;54.0;17.0;44.0;citrus/herbaceous/fruit tree
Piovene Porto Godi;Vigneto Fostine Sauvignon;3.8;38;10.1;Pasta / Seafood / Hard and aged cheese;Italy;Veneto;Sauvignon Blanc;2015.0;66.0;18.0;56.0;citrus/herbaceous/fruit tree
Venica & Venica;Talis Pinot Bianco;3.9;56;20.5;Fatty fish (salmon, tuna, etc.) / Seafood / Sweet soft cheese;Italy;Collio;Pinot Blanc;2019.0;43.0;0.0;60.0;fruit tree/citrus/vegetale
Montresor;Soave Classico;3.7;192;7.9;Seafood / Vegetarian / Appetizers and snacks;Italy;Soave Classico;Garganega;2020.0;29.0;0.0;59.0;fruit tree/citrus/herbaceous
Ronchi di Cialla;Picolit di Cialla;4.5;36;59.2;Pasta / Seafood / Hard and aged cheese;Italy;Colli Orientali del Friuli;Picolit;2011.0;69.0;54.0;45.0;herbaceous/wood/citrus
Villa Raiano;Alimata Fiano di Avellino;4.0;32;16.5;Seafood / Vegetarian / Appetizers and snacks;Italy;Fiano de Avellino;Fiano;2017.0;62.0;2.0;38.0;fruit tree/herbaceous/citrus
Livon;Mandítocai Friulano;4.0;54;23.5;Pasta / Seafood / Hard and aged cheese;Italy;Collio;Tocai Friulano;2018.0;69.0;29.0;48.0;fruit tree/wood/herbaceous
Antinori;Castello della Sala Conte della Vipera;4.2;42;21.5;Pasta / Vegetarian / Appetizers and snacks;Italy;Umbria;Chardonnay;2021.0;44.0;22.0;64.0;citrus/fruit tree/herbaceous
Kellerei . Cantina KALTERN;Gewürztraminer Campaner;4.3;88;15.0;Pork / Fatty fish (salmon, tuna, etc.) / Spicy foods;Italy;Südtirol - Alto Adige;Gewürztraminer;2020.0;69.0;33.0;33.0;tropical note/herbaceous/fruit tree
Marco de Bartoli;Integer Grillo;3.9;71;22.95;Seafood / Vegetarian / Appetizers and snacks;Italy;Sicilia;Grillo;2019.0;65.0;12.0;39.0;citrus/herbaceous/fruit tree
Livio Felluga;Illivio;4.2;263;28.0;Pasta / Seafood / Hard and aged cheese;Italy;Colli Orientali del Friuli;Miscela;2018.0;60.0;29.0;45.0;wood/fruit tree/herbaceous
Schiopetto;Collio Friulano;3.8;353;17.0;Pasta / Seafood / Hard and aged cheese;Italy;Collio;Friulano;2018.0;61.0;21.0;51.0;fruit tree/herbaceous/citrus
Kante;Malvasia;4.0;26;18.9;Pasta / Seafood / Hard and aged cheese;Italy;Carso;Malvasia;2019.0;59.0;21.0;50.0;herbaceous/fruit tree/citrus
Maria Pia Castelli;Stella Flora;4.2;67;44.9;Pasta / Vegetarian / Appetizers and snacks;Italy;Marche;Miscela;2015.0;54.0;24.0;59.0;citrus/herbaceous/wood
Melini;Le Grillaie Vernaccia di San Gimignano;3.7;134;10.55;Pasta / Vegetarian / Appetizers and snacks;Italy;Vernaccia di San Gimignano;Vernaccia di San Gimignano;2019.0;39.0;28.0;66.0;fruit tree/citrus/herbaceous
Ca' Bolani;Pinot Grigio;3.8;62;10.8;Seafood / Vegetarian / Mushrooms;Italy;Friuli Aquileia;Pinot Grigio;2020.0;42.0;12.0;39.0;fruit tree/citrus/herbaceous
Collavini;Villa Canlungo Black Label Pinot Grigio;3.7;141;11.9;Seafood / Vegetarian / Mushrooms;Italy;Rosazzo;Pinot Gris;2020.0;40.0;12.0;40.0;fruit tree/citrus/herbaceous
H. Lun;Müller Thurgau '1840';3.9;25;9.7;Seafood / Spicy foods / Vegetarian;Italy;Südtirol - Alto Adige;Müller-Thurgau;2020.0;37.0;19.0;34.0;fruit tree/herbaceous/citrus
Baglio di Pianetto;Ficiligno Viognier - Inzolia;3.8;75;11.1;Seafood / Vegetarian / Appetizers and snacks;Italy;Terre Siciliane;Viognier;2019.0;63.0;2.0;40.0;fruit tree/tropical note/herbaceous
Lo Triolet;Pinot Gris;3.9;63;31.7;Seafood / Vegetarian / Mushrooms;Italy;Valle d'Aosta;Pinot Grigio;2017.0;48.0;16.0;43.0;fruit tree/citrus/herbaceous
San Marzano;Talò Fiano;4.0;126;9.7;Seafood / Vegetarian / Appetizers and snacks;Italy;Salento;Fiano;2020.0;55.0;15.0;38.0;fruit tree/tropical note/herbaceous
Umani Ronchi;Plenio Verdicchio dei Castelli di Jesi Classico Riserva;3.9;29;18.9;Pasta / Vegetarian / Appetizers and snacks;Italy;Verdicchio dei Castelli di Jesi;Verdicchio;2019.0;52.0;28.0;62.0;fruit tree/wood/herbaceous
Feudi di San Gregorio;Campanaro;4.1;47;24.5;Seafood / Vegetarian / Appetizers and snacks;Italy;Irpinia;Miscela;2019.0;58.0;11.0;43.0;citrus/herbaceous/fruit tree
Pratello;Catulliano Lugana;3.7;301;8.79;Pasta / Seafood / Hard and aged cheese;Italy;Lugana;Verdicchio;2020.0;57.0;27.0;50.0;fruit tree/citrus/herbaceous
Manincor;Le Petit;4.4;48;51.9;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Petit Manseng;2016.0;69.0;60.0;47.0;herbaceous/fruit tree/frutta secca
La Tunella;Rjgialla;3.9;42;14.8;Pasta / Seafood / Hard and aged cheese;Italy;Colli Orientali del Friuli;Ribolla Gialla;2021.0;57.0;26.0;50.0;fruit tree/citrus/herbaceous
Tiefenbrunner;AU Chardonnay;4.1;32;75.8;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Müller-Thurgau;2016.0;65.0;21.0;46.0;wood/aged note/fruit tree
Giacosa Fratelli;Roero Arneis;3.7;79;9.9;Pasta / Seafood / Hard and aged cheese;Italy;Roero;Arneis;2019.0;60.0;25.0;47.0;fruit tree/citrus/herbaceous
COS;Zibibbo in Pithos;3.8;31;24.9;Seafood / Vegetarian / Appetizers and snacks;Italy;Terre Siciliane;Muscat Blanc;2020.0;62.0;14.0;28.0;citrus/herbaceous/fruit tree
Michele Satta;Bolgheri Costa di Giulia;3.7;139;16.8;Pasta / Vegetarian / Appetizers and snacks;Italy;Costa Toscana;Vermentino;2018.0;44.0;20.0;60.0;fruit tree/herbaceous/citrus
Tenuta Cucco;Langhe Chardonnay;3.9;31;17.4;Pasta / Seafood / Hard and aged cheese;Italy;Langhe;Chardonnay;2019.0;69.0;31.0;35.0;fruit tree/wood/herbaceous
Paternoster;Vulcanico Falanghina;3.8;34;12.1;Seafood / Vegetarian / Appetizers and snacks;Italy;Basilicata;Falanghina;2020.0;57.0;3.0;38.0;fruit tree/citrus/herbaceous
Cantine del Notaio;Il Preliminare;3.9;104;10.9;Seafood / Vegetarian / Appetizers and snacks;Italy;Basilicata;Miscela;2019.0;62.0;10.0;38.0;tropical note/citrus/fruit tree
Valter Mattoni;Trebbien;3.9;29;30.0;Pasta / Vegetarian / Appetizers and snacks;Italy;Marche;Trebbiano;2019.0;61.0;16.0;64.0;citrus/fruit tree/red fruits
Falkenstein;Riesling;3.8;69;18.4;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Riesling;2019.0;60.0;23.0;56.0;citrus/fruit tree/herbaceous
Donnachiara;Greco di Tufo;3.9;132;10.5;Seafood / Vegetarian / Appetizers and snacks;Italy;Greco di Tufo;Greco;2019.0;62.0;0.0;36.0;fruit tree/citrus/herbaceous
Cantine di Marzo;Fiano di Avellino Classico;3.9;32;12.9;Seafood / Vegetarian / Appetizers and snacks;Italy;Fiano de Avellino;Fiano;2019.0;60.0;19.0;42.0;citrus/fruit tree/yeasts
Jasci & Marchesani;Trebbiano d'Abruzzo;3.9;28;9.0;Seafood / Vegetarian / Appetizers and snacks;Italy;Trebbiano d'Abruzzo;Trebbiano D'Abruzzo;2019.0;66.0;2.0;33.0;herbaceous/fruit tree/yeasts
Badia di Morrona;Felciaio;3.8;34;8.21;Pasta / Vegetarian / Appetizers and snacks;Italy;Toscana;Vermentino;2020.0;49.0;17.0;68.0;citrus/fruit tree/wood
Brandini;Le Coccinelle Langhe Bianco;3.8;162;32.56;Pasta / Seafood / Hard and aged cheese;Italy;Langhe;Arneis;2017.0;59.0;20.0;52.0;fruit tree/citrus/herbaceous
Colterenzio (Schreckbichl);Lafóa Sauvignon;4.4;33;23.76;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Sauvignon Blanc;2020.0;64.0;23.0;52.0;citrus/fruit tree/vegetale
Emidio Pepe;Trebbiano d'Abruzzo;4.1;774;108.0;Pasta / Vegetarian / Appetizers and snacks;Italy;Trebbiano d'Abruzzo;Trebbiano;2015.0;50.0;26.0;66.0;herbaceous/fruit tree/citrus
La Tunella;Friulano;3.9;64;14.0;Pasta / Seafood / Hard and aged cheese;Italy;Colli Orientali del Friuli;Friulano;2019.0;60.0;22.0;45.0;fruit tree/herbaceous/aged note
Girolamo Russo;Nerina Etna Bianco;3.9;143;29.9;Seafood / Vegetarian / Appetizers and snacks;Italy;Etna;Miscela;2019.0;62.0;10.0;37.0;herbaceous/citrus/fruit tree
A Mano;Fiano - Greco;3.9;114;10.5;Seafood / Vegetarian / Appetizers and snacks;Italy;Salento;Miscela;2020.0;63.0;13.0;36.0;fruit tree/citrus/herbaceous
Tenuta Sant'Antonio;Télos Il Bianco Garganega - Chardonnay;4.0;50;13.2;Pasta / Seafood / Hard and aged cheese;Italy;Veneto;Miscela;2020.0;65.0;23.0;50.0;fruit tree/tropical note/citrus
Castrum Morisci;003 Pecorino;4.0;34;12.4;Pasta / Vegetarian / Appetizers and snacks;Italy;Falerio;Pecorino;2019.0;46.0;11.0;68.0;citrus/herbaceous
Tenuta dell'Ugolino;Vigneto del Balluccio Verdicchio dei Castelli di Jesi Classico Superiore;3.8;38;16.9;Pasta / Vegetarian / Appetizers and snacks;Italy;Verdicchio dei Castelli di Jesi;Verdicchio;2020.0;50.0;18.0;65.0;citrus/wood/fruit tree
Villa Raiano;Greco di Tufo;3.8;106;11.2;Seafood / Vegetarian / Appetizers and snacks;Italy;Greco di Tufo;Greco;2020.0;63.0;10.0;38.0;fruit tree/herbaceous/citrus
La Lastra;Riserva Vernaccia di San Gimignano;3.9;71;18.9;Pasta / Vegetarian / Appetizers and snacks;Italy;Vernaccia di San Gimignano;Vernaccia;2018.0;42.0;24.0;64.0;citrus/fruit tree/herbaceous
Vigneti Boveri Giacomo;Muntà l’è Ruma Derthona;4.1;30;19.45;Pasta / Seafood / Hard and aged cheese;Italy;Colli Tortonesi;Timorasso;2017.0;64.0;17.0;48.0;fruit tree/citrus/herbaceous
Kuen Hof;Südtirol Eisacktaler Veltliner;4.0;66;18.59;na / na / na;Italy;Südtirol - Alto Adige;Grüner Veltliner;2018.0;;;;
Vite Colte;Tra Donne Sole Piemonte;3.9;135;9.9;Pasta / Seafood / Hard and aged cheese;Italy;Piemonte;Miscela;2020.0;61.0;28.0;50.0;citrus/vegetale/fruit tree
Terlan (Terlano);Pinot Bianco Riserva Vorberg;4.3;208;143.0;Fatty fish (salmon, tuna, etc.) / Seafood / Sweet soft cheese;Italy;Südtirol - Alto Adige;Weissburgunder;2009.0;46.0;10.0;57.0;fruit tree/herbaceous/citrus
Garlider;Sylvaner;3.9;76;19.7;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol Eisacktaler;Sylvaner;2018.0;61.0;19.0;49.0;herbaceous/fruit tree/citrus
Cantina Bolzano / Kellerei Bozen;Sauvignon Collection Otto Graf Huyn;3.8;182;15.0;na / na / na;Italy;Südtirol - Alto Adige;Sauvignon Blanc;2019.0;;;;
Spadafora;Grillo;3.8;77;14.4;na / na / na;Italy;Terre Siciliane;Grillo;2016.0;;;;
Palmento Costanzo;Mofete Etna Bianco;3.8;194;15.5;Seafood / Vegetarian / Appetizers and snacks;Italy;Etna;Carricante;2019.0;59.0;61.0;44.0;citrus/herbaceous/fruit tree
Tessari;Bine Longhe di Costalta;3.9;52;30.9;Seafood / Vegetarian / Appetizers and snacks;Italy;Soave Classico;Garganega;2018.0;36.0;4.0;58.0;fruit tree/herbaceous/citrus
Velenosi;Prope Trebbiano d'Abruzzo;3.8;51;9.68;na / na / na;Italy;Trebbiano d'Abruzzo;Trebbiano;2019.0;;;;
Cesconi;Olivar;4.2;29;23.0;na / na / na;Italy;Vigneti delle Dolomiti;Miscela;2018.0;;;;
Colterenzio (Schreckbichl);Pinot Grigio;3.8;221;8.6;Seafood / Vegetarian / Mushrooms;Italy;Südtirol - Alto Adige;Pinot Grigio;2020.0;41.0;12.0;44.0;fruit tree/citrus/herbaceous
Zuani;Sodevo Ribolla Gialla;4.1;56;15.0;Pasta / Seafood / Hard and aged cheese;Italy;Venezia Giulia;Ribolla Gialla;2019.0;58.0;22.0;54.0;fruit tree/citrus/herbaceous
Tenuta Ammiraglia;Masso Vivo Vermentino;3.8;135;9.9;Pasta / Vegetarian / Appetizers and snacks;Italy;Toscana;Vermentino;2019.0;37.0;17.0;63.0;fruit tree/citrus/herbaceous
Vesevo;Greco di Tufo;3.8;122;9.89;Seafood / Vegetarian / Appetizers and snacks;Italy;Greco di Tufo;Greco;2017.0;61.0;5.0;33.0;fruit tree/citrus/herbaceous
Menti Giovanni;Riva Arsiglia;3.7;152;18.9;Pasta / Seafood / Hard and aged cheese;Italy;Gambellara;Garganega;2016.0;61.0;23.0;50.0;herbaceous/fruit tree/citrus
Farnese;Fantini Pecorino Terre di Chieti;3.7;74;5.2;na / na / na;Italy;Terre di Chieti;Pecorino;2021.0;;;;
Kellerei Eisacktal - Cantina Valle Isarco;Aristos Sauvignon;3.8;38;15.7;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Sauvignon Blanc;2018.0;60.0;11.0;65.0;vegetale/tropical note/citrus
Tenute Orestiadi;Grillo;3.8;48;8.18;Seafood / Vegetarian / Appetizers and snacks;Italy;Terre Siciliane;Grillo;2020.0;61.0;35.0;46.0;citrus/herbaceous/vegetale
Barone Montalto;Collezione di Famiglia Zibibbo;3.9;31;10.8;Seafood / Vegetarian / Appetizers and snacks;Italy;Terre Siciliane;Zibibbo;2020.0;60.0;11.0;37.0;fruit tree/tropical note/citrus
Abbazia di Novacella (Stiftskellerei Neustift);Praepositus Gewürztraminer;4.1;37;17.99;Pork / Fatty fish (salmon, tuna, etc.) / Spicy foods;Italy;Südtirol - Alto Adige;Gewürztraminer;2020.0;67.0;44.0;31.0;tropical note/fruit tree/citrus
Feudi di San Gregorio;Campanaro;3.8;96;24.5;Seafood / Vegetarian / Appetizers and snacks;Italy;Irpinia;Miscela;2012.0;58.0;11.0;43.0;citrus/herbaceous/fruit tree
Calabretta;Carricante;3.8;49;22.47;Seafood / Vegetarian / Appetizers and snacks;Italy;Sicilia;Carricante;2019.0;57.0;6.0;44.0;herbaceous/citrus/fruit tree
J. Hofstätter;Kolbenhof Gewürztraminer;4.1;116;27.4;Pork / Fatty fish (salmon, tuna, etc.) / Spicy foods;Italy;Südtirol - Alto Adige;Gewürztraminer;2019.0;66.0;39.0;29.0;tropical note/fruit tree/herbaceous
Tiefenbrunner;Turmhof Chardonnay;4.0;55;14.8;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Chardonnay;2019.0;57.0;21.0;53.0;wood/fruit tree/aged note
Tenuta Ulisse;Limited Edition 10 Vendemmie Bianco;4.2;165;25.79;Pasta / Vegetarian / Appetizers and snacks;Italy;Abruzzo;Miscela;;43.0;29.0;64.0;tropical note/herbaceous/fruit tree
Terlan (Terlano);Riserva Nova Domus Terlaner;4.4;470;41.0;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Miscela;2017.0;65.0;26.0;49.0;fruit tree/herbaceous/wood
Pieropan;La Rocca Soave Classico;4.0;905;26.0;Seafood / Vegetarian / Appetizers and snacks;Italy;Soave Classico;Garganega;2019.0;35.0;8.0;57.0;fruit tree/herbaceous/citrus
Caravaglio;Infatata Malvasia Secca;4.0;72;21.0;Seafood / Vegetarian / Appetizers and snacks;Italy;Salina;Malvasia;2020.0;59.0;8.0;41.0;citrus/fruit tree/herbaceous
Elvio Cogno;Anas-Cëtta Langhe Nascetta di Novello;4.0;41;20.5;Pasta / Seafood / Hard and aged cheese;Italy;Langhe;Nascetta;2020.0;62.0;22.0;53.0;herbaceous/citrus/fruit tree
Quintodecimo;Giallo d'Arles Greco di Tufo;4.3;82;31.99;Seafood / Vegetarian / Appetizers and snacks;Italy;Greco di Tufo;Greco;2020.0;66.0;10.0;40.0;fruit tree/herbaceous/citrus
Palazzone;Campo del Guardiano;3.8;94;24.0;Pasta / Vegetarian / Appetizers and snacks;Italy;Orvieto Classico;Miscela;2017.0;49.0;19.0;63.0;fruit tree/citrus/herbaceous
Cantine del Notaio;Il Preliminare;3.8;63;12.4;Seafood / Vegetarian / Appetizers and snacks;Italy;Basilicata;Miscela;2020.0;62.0;10.0;38.0;tropical note/citrus/fruit tree
Venica & Venica;Ronco Bernizza Chardonnay;3.8;79;20.0;Pasta / Seafood / Hard and aged cheese;Italy;Collio;Chardonnay;2018.0;62.0;28.0;47.0;wood/vegetale/tropical note
Planeta;Allemanda;3.9;172;10.0;Seafood / Vegetarian / Appetizers and snacks;Italy;Moscato di Noto;Moscato Bianco;2018.0;58.0;9.0;35.0;fruit tree/Floreale/citrus
Foradori;Nosiola Fontanasanta;3.9;84;33.9;Pasta / Seafood / Hard and aged cheese;Italy;Vigneti delle Dolomiti;Nosiola;2020.0;54.0;19.0;51.0;herbaceous/citrus/fruit tree
Lis Neris;Gris;4.1;289;22.9;Seafood / Vegetarian / Mushrooms;Italy;Friuli Isonzo;Pinot Grigio;2018.0;46.0;15.0;41.0;herbaceous/fruit tree/wood
Cà Maiol;Molin Lugana;4.0;112;12.39;Pasta / Seafood / Hard and aged cheese;Italy;Lugana;Verdicchio;2020.0;59.0;24.0;51.0;fruit tree/herbaceous/citrus
Ronco dei Tassi;Sauvignon;3.8;25;15.62;Pasta / Seafood / Hard and aged cheese;Italy;Collio;Sauvignon Blanc;2019.0;60.0;13.0;50.0;citrus/herbaceous/fruit tree
Danzante;Pinot Grigio;3.8;114;8.11;Seafood / Vegetarian / Mushrooms;Italy;delle Venezie;Pinot Grigio;2020.0;41.0;12.0;42.0;citrus/fruit tree/herbaceous
Piana dei Castelli;Follia Bianco;3.9;104;19.8;Pasta / Vegetarian / Appetizers and snacks;Italy;Lazio;Sauvignon Blanc;2016.0;60.0;34.0;55.0;citrus/fruit tree/wood
La Cipriana;Paguro Vermentino Bolgheri Bianco;4.0;33;16.47;na / na / na;Italy;Bolgheri;Vermentino;2019.0;;;;
Nals Margreid;Sirmian Pinot Bianco;4.1;25;20.8;Fatty fish (salmon, tuna, etc.) / Seafood / Sweet soft cheese;Italy;Südtirol - Alto Adige;Weissburgunder;2020.0;43.0;7.0;58.0;fruit tree/citrus/herbaceous
Colterenzio (Schreckbichl);Gewürztraminer;3.9;222;10.37;Pork / Fatty fish (salmon, tuna, etc.) / Spicy foods;Italy;Südtirol - Alto Adige;Gewürztraminer;2020.0;62.0;37.0;32.0;tropical note/fruit tree/herbaceous
Tani;Taerra Vermentino di Gallura Superiore;4.1;42;16.0;Seafood / Vegetarian / Appetizers and snacks;Italy;Vermentino di Gallura;Vermentino;2019.0;63.0;9.0;39.0;fruit tree/citrus/herbaceous
Claudio Mariotto;Cavallina;4.1;45;24.0;Pasta / Seafood / Hard and aged cheese;Italy;Colli Tortonesi;Timorasso;2018.0;67.0;23.0;48.0;herbaceous/citrus/fruit tree
Erste+Neue;Gewürztraminer;4.0;275;12.5;Pork / Fatty fish (salmon, tuna, etc.) / Spicy foods;Italy;Südtirol - Alto Adige;Gewürztraminer;2020.0;63.0;38.0;31.0;fruit tree/tropical note/herbaceous
Ritterhof;Lenz;4.0;149;9.99;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Müller-Thurgau;2020.0;53.0;32.0;48.0;fruit tree/citrus/wood
Cusumano;Alta Mora Etna Bianco;3.9;723;19.5;Seafood / Vegetarian / Appetizers and snacks;Italy;Etna;Carricante;2019.0;61.0;5.0;40.0;herbaceous/citrus/fruit tree
Casal Farneto;Grancasale Verdicchio dei Castelli di Jesi Classico Superiore;3.9;33;10.5;Pasta / Vegetarian / Appetizers and snacks;Italy;Verdicchio dei Castelli di Jesi;Verdicchio;2019.0;51.0;19.0;65.0;fruit tree/herbaceous/citrus
Belguardo;Vermentino Bianco Toscana;3.8;560;10.8;Pasta / Vegetarian / Appetizers and snacks;Italy;Toscana;Vermentino;2018.0;42.0;21.0;65.0;citrus/fruit tree/herbaceous
La Tunella;Pinot Grigio;4.0;173;13.48;Seafood / Vegetarian / Mushrooms;Italy;Colli Orientali del Friuli;Pinot Grigio;2020.0;41.0;12.0;42.0;citrus/fruit tree/herbaceous
Erste+Neue;Müller Thurgau;3.8;55;9.4;Seafood / Spicy foods / Vegetarian;Italy;Südtirol - Alto Adige;Müller-Thurgau;2020.0;31.0;13.0;36.0;fruit tree/citrus/herbaceous
Donna Olimpia;Bolgheri Bianco;3.8;44;20.35;Pasta / Vegetarian / Appetizers and snacks;Italy;Bolgheri;Miscela;2018.0;51.0;20.0;60.0;yeasts/wood/fruit tree
Casata Monfort;Pinot Grigio;3.8;46;11.0;Seafood / Vegetarian / Mushrooms;Italy;Trentino;Pinot Grigio;2020.0;45.0;10.0;37.0;fruit tree/citrus/yeasts
Donnafugata;Vigna Di Gabri;3.9;254;14.59;Seafood / Vegetarian / Appetizers and snacks;Italy;Sicilia;Miscela;2019.0;59.0;7.0;35.0;fruit tree/herbaceous/citrus
Capichera;Vermentino Isola dei Nuraghi;4.3;259;43.8;Seafood / Vegetarian / Appetizers and snacks;Italy;Isola dei Nuraghi;Vermentino;2018.0;66.0;17.0;35.0;citrus/fruit tree/herbaceous
Les Crêtes;Cuvée Bois Chardonnay;4.3;241;39.0;Pasta / Seafood / Hard and aged cheese;Italy;Valle d'Aosta;Chardonnay;2018.0;65.0;24.0;51.0;wood/fruit tree/herbaceous
Azienda Santa Barbara - Stefano Antonucci;Verdicchio dei Castelli di Jesi Classico Superiore;4.1;83;17.9;Pasta / Vegetarian / Appetizers and snacks;Italy;Verdicchio dei Castelli di Jesi;Verdicchio;2019.0;47.0;25.0;62.0;citrus/fruit tree/herbaceous
Tintero Elvio;Langhe Arneis;4.1;54;8.0;Pasta / Seafood / Hard and aged cheese;Italy;Langhe;Arneis;2020.0;60.0;26.0;52.0;fruit tree/citrus/herbaceous
Attems;Cicinis;3.8;80;21.5;Pasta / Seafood / Hard and aged cheese;Italy;Collio;Tocai Friulano;2017.0;60.0;27.0;52.0;wood/citrus/herbaceous
Cantina d'Isera;Sauvignon;3.7;262;10.9;Pasta / Seafood / Hard and aged cheese;Italy;Trentino;Sauvignon Blanc;2020.0;50.0;11.0;54.0;tropical note/citrus/vegetale
Cave Mont Blanc de Morgex et la Salle;Estremi Blanc de Morgex et de La Salle;3.7;96;22.0;Pasta / Seafood / Hard and aged cheese;Italy;Valle d'Aosta;Prié;2019.0;47.0;16.0;60.0;fruit tree/citrus/herbaceous
Marco de Bartoli;Grappoli del Grillo;4.1;46;22.39;Seafood / Vegetarian / Appetizers and snacks;Italy;Sicilia;Grillo;2020.0;66.0;7.0;38.0;herbaceous/citrus/fruit tree
Sartarelli;Balciana;4.2;80;33.0;Pasta / Vegetarian / Appetizers and snacks;Italy;Verdicchio dei Castelli di Jesi;Verdicchio;2016.0;58.0;26.0;64.0;herbaceous/citrus/aged note
Comm. G.B. Burlotto;Viridis Langhe Sauvignon;3.8;31;18.5;Pasta / Seafood / Hard and aged cheese;Italy;Langhe;Sauvignon Blanc;2020.0;64.0;25.0;54.0;citrus/fruit tree/herbaceous
