company;name;avg_review;num_review;price;food_advice;country;region;wine_type;year;light_struct;dry_sweet;flat_acidic;notes
Villabella;Villa Cordevigo Bianco;4.4;45;24.47;Pasta / Seafood / Hard and aged cheese;Italy;Rosso Veronese;Miscela;2017.0;65.0;20.0;47.0;wood/tropical note/herbaceous
La Marca di San Michele;Passolento Castelli di Jesi;3.9;37;23.9;Pasta / Vegetarian / Appetizers and snacks;Italy;Verdicchio dei Castelli di Jesi;Verdicchio;2018.0;53.0;21.0;64.0;citrus/herbaceous/fruit tree
Tamellini;Soave;3.8;1031;12.18;Seafood / Vegetarian / Appetizers and snacks;Italy;Valpolicella;Garganega;2018.0;31.0;0.0;58.0;fruit tree/citrus/herbaceous
Donnafugata;Vigna Di Gabri;3.9;439;15.68;Seafood / Vegetarian / Appetizers and snacks;Italy;Sicilia;Miscela;2018.0;59.0;7.0;35.0;fruit tree/herbaceous/citrus
Argiolas;Is Argiolas Vermentino di Sardegna;4.1;54;13.5;Seafood / Vegetarian / Appetizers and snacks;Italy;Vermentino di Sardegna;Vermentino;2021.0;63.0;11.0;36.0;fruit tree/herbaceous/citrus
Castelfeder;Raif Sauvignon;4.2;32;14.95;Pasta / Seafood / Hard and aged cheese;Italy;Vigneti delle Dolomiti;Sauvignon Blanc;2020.0;60.0;24.0;54.0;tropical note/fruit tree/vegetale
Monchiero Carbone;Cecu d'la Biunda Roero Arneis;3.8;78;13.37;Pasta / Seafood / Hard and aged cheese;Italy;Roero;Arneis;2020.0;60.0;22.0;51.0;fruit tree/citrus/herbaceous
Cantina Roccafiore;Fiorfiore;4.0;156;42.0;Pasta / Vegetarian / Appetizers and snacks;Italy;Umbria;Grechetto;2014.0;51.0;23.0;66.0;fruit tree/wood/citrus
Terlan (Terlano);Chardonnay Kreuth;4.0;514;22.98;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Chardonnay;2018.0;64.0;23.0;50.0;wood/fruit tree/citrus
Tenimenti d’Alessandro;Fontarca;4.0;33;28.9;Pasta / Vegetarian / Appetizers and snacks;Italy;Toscana;Viognier;2016.0;50.0;21.0;59.0;fruit tree/wood/citrus
La Spinetta;Piccolo Derthona Timorasso;3.9;198;20.98;Pasta / Seafood / Hard and aged cheese;Italy;Colli Tortonesi;Timorasso;2019.0;58.0;19.0;55.0;citrus/fruit tree/herbaceous
Terre Stregate;Svelato Falanghina;3.9;167;14.56;Seafood / Vegetarian / Appetizers and snacks;Italy;Falanghina del Sannio;Falanghina;2020.0;61.0;12.0;40.0;fruit tree/citrus/herbaceous
Roveglia;Filo di Arianna Lugana;4.3;40;22.78;Pasta / Seafood / Hard and aged cheese;Italy;Lugana;Trebbiano;2017.0;70.0;38.0;44.0;aged note/fruit tree/vegetale
Masseria Frattasi;Donnalaura;4.3;27;26.98;Seafood / Vegetarian / Appetizers and snacks;Italy;Taburno;Falanghina;2020.0;65.0;19.0;36.0;herbaceous/fruit tree/wood
Mastroberardino;Fiano Di Avellino Radici;3.8;142;15.43;Seafood / Vegetarian / Appetizers and snacks;Italy;Fiano de Avellino;Fiano;2020.0;60.0;4.0;38.0;fruit tree/herbaceous/citrus
Menti Giovanni;Monte del Cuca;3.8;39;26.1;Pasta / Seafood / Hard and aged cheese;Italy;Gambellara;Garganega;2019.0;65.0;21.0;47.0;citrus/fruit tree/herbaceous
Taschlerhof;Kerner;4.0;77;19.0;Pasta / Seafood / Hard and aged cheese;Italy;Trentino-Alto Adige;Kerner;2019.0;64.0;18.0;55.0;fruit tree/herbaceous/tropical note
Cantele;Teresa Manara Chardonnay;4.0;154;22.8;Seafood / Vegetarian / Appetizers and snacks;Italy;Salento;Chardonnay;2018.0;62.0;4.0;37.0;wood/fruit tree/citrus
Cantele;Teresa Manara Chardonnay VT;4.2;424;27.95;Seafood / Vegetarian / Appetizers and snacks;Italy;Puglia;Chardonnay;2018.0;69.0;10.0;35.0;wood/fruit tree/yeasts
La Sibilla;Falanghina Campi Flegrei;3.9;69;24.7;Seafood / Vegetarian / Appetizers and snacks;Italy;Campi Flegrei;Falanghina;2019.0;55.0;5.0;38.0;citrus/herbaceous/fruit tree
Radikon;Ribolla Gialla;4.1;241;108.0;Pasta / Seafood / Hard and aged cheese;Italy;Friuli-Venezia Giulia;Ribolla Gialla;2010.0;66.0;24.0;52.0;citrus/herbaceous/fruit tree
Ca' Bolani;Sauvignon;3.9;49;9.9;Pasta / Seafood / Hard and aged cheese;Italy;Friuli Aquileia;Sauvignon Blanc;2020.0;56.0;20.0;53.0;citrus/tropical note/vegetale
Feudi di San Gregorio;Campanaro;4.1;246;24.5;Seafood / Vegetarian / Appetizers and snacks;Italy;Irpinia;Miscela;2017.0;58.0;11.0;43.0;citrus/herbaceous/fruit tree
Negretti;Dadà Langhe Chardonnay;3.9;39;15.0;Pasta / Seafood / Hard and aged cheese;Italy;Langhe;Chardonnay;2018.0;62.0;31.0;44.0;wood/fruit tree/herbaceous
Livon;Pinot Grigio;3.7;129;13.8;na / na / na;Italy;Collio;Pinot Grigio;2020.0;;;;
La Staffa;Selva di Sotto Castelli di Jesi Verdicchio Riserva Classico;4.3;31;158.8;Pasta / Vegetarian / Appetizers and snacks;Italy;Verdicchio dei Castelli di Jesi Riserva;Verdicchio;2015.0;45.0;19.0;70.0;wood/citrus/aged note
Conte Vistarino;Rïes Riesling;3.8;71;14.65;Pasta / Seafood / Hard and aged cheese;Italy;Provincia di Pavia;Riesling;2015.0;57.0;26.0;50.0;fruit tree/citrus/herbaceous
Saracco;Moscato d'Autunno;4.0;52;16.05;Pasta / Seafood / Hard and aged cheese;Italy;Piemonte;Moscato Bianco;2020.0;59.0;54.0;50.0;fruit tree/tropical note/yeasts
Schiopetto;Collio Pinot Grigio;3.8;157;17.5;Seafood / Vegetarian / Mushrooms;Italy;Collio;Pinot Grigio;2018.0;46.0;18.0;40.0;fruit tree/herbaceous/citrus
St. Michael-Eppan;Müller Thurgau;3.7;166;10.49;Seafood / Spicy foods / Vegetarian;Italy;Südtirol - Alto Adige;Müller-Thurgau;2020.0;32.0;8.0;36.0;fruit tree/citrus/herbaceous
Casa d'Ambra;Biancolella Ischia;3.9;38;11.9;Seafood / Vegetarian / Appetizers and snacks;Italy;Ischia;Biancolella;2021.0;55.0;5.0;38.0;herbaceous/citrus/fruit tree
Kellerei Eisacktal - Cantina Valle Isarco;Grüner Veltliner;3.7;156;9.8;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Grüner Veltliner;2020.0;59.0;22.0;55.0;fruit tree/citrus/herbaceous
Gaja;Rossj-Bass Langhe;4.3;910;91.0;Pasta / Seafood / Hard and aged cheese;Italy;Langhe;Chardonnay;2017.0;60.0;23.0;52.0;citrus/wood/herbaceous
Nals Margreid;Sirmian Pinot Bianco;4.2;208;19.3;Fatty fish (salmon, tuna, etc.) / Seafood / Sweet soft cheese;Italy;Südtirol - Alto Adige;Weissburgunder;2019.0;43.0;7.0;58.0;fruit tree/citrus/herbaceous
Gaja;Rossj-Bass Langhe;4.3;212;58.0;Pasta / Seafood / Hard and aged cheese;Italy;Langhe;Chardonnay;2020.0;60.0;23.0;52.0;citrus/wood/herbaceous
Fazi Battaglia;Pecorino;3.8;33;7.35;Pasta / Vegetarian / Appetizers and snacks;Italy;Falerio Pecorino;Pecorino;2019.0;46.0;24.0;61.0;citrus/fruit tree/Floreale
Feudi di San Gregorio;Greco Di Tufo Cutizzi;3.7;509;22.0;Seafood / Vegetarian / Appetizers and snacks;Italy;Greco di Tufo;Greco;2016.0;60.0;6.0;45.0;fruit tree/herbaceous/citrus
Pranzegg;Tonsur;3.8;37;26.27;Pasta / Seafood / Hard and aged cheese;Italy;Trentino-Alto Adige;Miscela;2019.0;52.0;22.0;54.0;herbaceous/citrus/fruit tree
Ancarani;Indigeno;3.9;143;14.98;Pasta / Seafood / Hard and aged cheese;Italy;Colli di Faenza;Trebbiano;2019.0;49.0;10.0;54.0;fruit tree/citrus/herbaceous
Cieck;Misobolo Erbaluce di Caluso;4.1;62;15.2;Pasta / Seafood / Hard and aged cheese;Italy;Erbaluce di Caluso;Erbaluce;2019.0;57.0;23.0;55.0;fruit tree/citrus/herbaceous
Fontaleoni;Vernaccia di San Gimignano;3.7;82;7.8;Pasta / Vegetarian / Appetizers and snacks;Italy;Vernaccia di San Gimignano;Vernaccia;2020.0;40.0;17.0;68.0;fruit tree/citrus/herbaceous
Planeta;Cometa;4.2;105;20.5;na / na / na;Italy;Menfi;Fiano;2020.0;64.0;10.0;34.0;fruit tree/herbaceous/citrus
Gurra di Mare;Tirsat Chardonnay - Viognier;3.8;72;14.0;Seafood / Vegetarian / Appetizers and snacks;Italy;Terre Siciliane;Miscela;2018.0;67.0;14.0;33.0;fruit tree/herbaceous/wood
Querciabella;Toscana Batar;4.2;34;149.0;Pasta / Vegetarian / Appetizers and snacks;Italy;Toscana;Miscela;2000.0;50.0;29.0;63.0;wood/fruit tree/herbaceous
Sportoletti;Villa Fidelia Bianco;4.2;45;12.0;Pasta / Vegetarian / Appetizers and snacks;Italy;Umbria;Miscela;2017.0;49.0;24.0;60.0;wood/citrus/herbaceous
La Castellada;Ribolla Gialla;4.0;33;32.9;Pasta / Seafood / Hard and aged cheese;Italy;Collio;Ribolla Gialla;2015.0;65.0;26.0;49.0;herbaceous/wood/citrus
Cusumano;Jalè (Tenuta Ficuzza);4.0;391;22.48;Seafood / Vegetarian / Appetizers and snacks;Italy;Sicilia;Chardonnay;2018.0;67.0;10.0;33.0;wood/herbaceous/yeasts
Cantine di Marzo;Greco di Tufo;3.7;135;13.4;Seafood / Vegetarian / Appetizers and snacks;Italy;Greco di Tufo;Greco;2020.0;58.0;5.0;52.0;citrus/herbaceous/fruit tree
Tenuta di Castellaro;Bianco Pomice;3.8;38;21.7;Seafood / Vegetarian / Appetizers and snacks;Italy;Sicilia;Carricante;2020.0;60.0;4.0;40.0;herbaceous/citrus/fruit tree
Cantine Leonardo da Vinci;Leonardo da Vinci Toscana Vermentino;4.0;84;9.89;Pasta / Vegetarian / Appetizers and snacks;Italy;Toscana;Vermentino;2020.0;38.0;31.0;59.0;citrus/fruit tree/herbaceous
Sandro de Bruno;Bianco Fumo Sauvignon;3.8;32;16.78;Pasta / Seafood / Hard and aged cheese;Italy;Veneto;Sauvignon Blanc;2016.0;60.0;13.0;54.0;citrus/fruit tree/vegetale
Bulgarini;Gocce d'Oro;4.0;56;17.03;Pasta / Seafood / Hard and aged cheese;Italy;Lugana;Trebbiano;2020.0;50.0;17.0;57.0;yeasts
Marco Felluga;Collio Sauvignon;3.9;135;11.9;Pasta / Seafood / Hard and aged cheese;Italy;Collio;Sauvignon Blanc;2020.0;58.0;20.0;54.0;citrus/vegetale/fruit tree
Venica & Venica;Pètris Malvasia;3.9;26;18.5;Pasta / Seafood / Hard and aged cheese;Italy;Collio;Malvasia;2019.0;62.0;24.0;52.0;citrus/herbaceous/fruit tree
Progetto Calcarius;Bombigiana;3.9;28;17.98;Seafood / Vegetarian / Appetizers and snacks;Italy;Puglia;Bombino Bianco;2019.0;64.0;2.0;29.0;citrus/frutta secca/fruit tree
Villa Dora;Vigna del Vulcano Lacryma Christi del Vesuvio Bianco;3.8;69;22.4;Seafood / Vegetarian / Appetizers and snacks;Italy;Vesuvio;Miscela;2014.0;70.0;6.0;40.0;fruit tree/herbaceous/wood
Girlan;Flora Chardonnay;4.2;46;22.4;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Chardonnay;2019.0;63.0;21.0;48.0;wood/fruit tree/herbaceous
Giovanni Rosso;Etna Bianco;3.9;77;25.9;Seafood / Vegetarian / Appetizers and snacks;Italy;Etna;Carricante;2019.0;59.0;7.0;36.0;herbaceous/citrus/fruit tree
Tramin;Moscato Giallo Goldmuskateller;3.9;62;9.9;Pasta / Seafood / Hard and aged cheese;Italy;Südtirol - Alto Adige;Moscato Giallo;2020.0;62.0;54.0;40.0;fruit tree/tropical note/citrus
Zamichele;Lugana;3.9;36;11.5;Pasta / Seafood / Hard and aged cheese;Italy;Lugana;Trebbiano;2020.0;63.0;24.0;48.0;fruit tree/tropical note/citrus
Le Vigne di Zamò;Ribolla Gialla;3.7;75;13.5;Pasta / Seafood / Hard and aged cheese;Italy;Colli Orientali del Friuli;Ribolla Gialla;2019.0;56.0;22.0;53.0;fruit tree/herbaceous/citrus
