winemaker;latitude;longitude
Cantina La-Vis;46.13785;11.108017
Matteo Correggia;45.453266;8.65884
Ca' del Bosco;45.591244;9.989009
Josetta Saffirio;44.61051;7.986095
Ansitz Dolomytos;46.498962;11.441628
Guido Marsella;40.946533;14.747817
Mainente;45.41828;11.248526
Baron Di Pauli;46.41847;11.252493
Albino Rocca;44.840485;10.18122
La Scolca;45.855312;11.002028
Avide;41.03124;14.494156
Marco Felluga;45.898525;13.509775
Guado al Melo;44.0173;10.651853
Ca’ del Baio;44.688393;8.090119
Borgo Molino;45.754665;12.400287
Borgo Paglianetto;44.8773;8.185049
Mandrarossa;37.608944;12.987218
Sartori di Verona;45.503777;10.934393
Rocca del Principe;40.82107;14.75976
Malvirà;44.793922;7.974958
Muzic;43.966625;10.849747
Marco Carpineti;41.64451;12.912998
Piero Busso;44.73615;8.099348
Santa Maria La Palma;40.55808;8.31863
Ornellaia;43.212067;10.613753
Vigna Traverso;45.70605;13.732041
La Toledana;44.8773;8.185049
Colosi;38.213116;15.529853
Inama Azienda Agricola;45.38587;11.28671
Al-Cantara;37.888153;15.006645
Fontana Candida;41.86186;12.687398
Bricco dei Guazzi;45.037983;8.36815
Marotti Campi;43.61708;13.226318
Cottanera;44.770912;11.746665
Ruffino;43.770927;11.345243
Borgo San Daniele;45.96265;13.464371
Anselmi;44.092567;12.193012
Aia Vecchia;43.167786;10.581588
Punica;39.093407;8.716156
Filodivino;43.57624;13.205013
Bindella - Tenuta Vallocaia;43.097893;11.874209
Corte Giara;45.539997;10.884814
Monte Tondo;45.40958;11.258048
De Stefani;45.644844;12.487137
Ca' di Rajo;45.81195;12.396902
Ferghettina;45.620087;9.974261
ColleStefano;42.8752;12.0172
Frescobaldi;43.768394;11.248622
Adriano Marco e Vittorio;44.686016;8.063774
Il Palagio;45.3137;9.56216
Peter Zemmer;46.41777;11.25019
Ronchi di Manzano;45.99412;13.379193
Cesani;43.671333;11.283836
Zisola;36.87054;15.050464
Murgo;37.69175;15.129984
Tenuta Carretta;45.796265;12.152524
Negro Angelo;44.779057;7.976117
Capannelle;43.423473;11.48825
Masseria Altemura;40.468815;17.742376
Palari;38.10412;15.468218
Castiglion del Bosco;43.084957;11.421882
Mastroberardino;40.92387;14.831116
Tamellini;45.45163;11.218677
ColleMassari;42.908405;11.323052
